term,pos,schema definition / notes,comment,translation_es,comment_es,translation_es_MX,comment_es_MX,translation_es_CL,comment_es_CL,translation_es_UY,comment_es_UY,translation_es_GT,comment_es_GT,translation_es_BO,comment_es_BO,translation_es_EC,comment_es_EC,translation_es_PY,comment_es_PY,translation_es_AR,comment_es_AR,path
tender,Noun,,i.e. Tender stage of a contracting process,,,Licitación,,Licitación,,llamado,Puede ser convocatoria si fuera más gral. Licitación en UY es un tipo de compra,PUBLICACION,"CUANDO SE GENERA UN NUEVO EVENTO, SE REALIZA LA PUBLICACION EN EL SISTEMA GUATECOMPRAS, LA LICITACION O EL LLAMADO A LICITAR ES PARA UNA MODALIDAD ESPECIFICA DE LICITACION.",licitación,Involucra todo el proceso de contratación de una modalidad de contratación que es la licitación (concurso).,,"El procedimiento precontractual corresponde a la fase de: a) publicación, b) preguntas, respuestas y aclaraciones, c) entrega de ofertas, d) calificación y f) adjudicación. A tender le corresponde los literales a), b), c) y los literales d) y f) corresponden a award",licitación,,Llamado / Convocatoria / Evaluación,"Etapa de convocatoria a participar de un procedimiento, ya sea que haya una compulsa de precios o contratación directa.",tender
tender notice,Noun,,,,,Publicación de la licitación,,Aviso de publicación,,publicación del llamado,,MODIFICACIONES,,aviso de licitación,,Publicación del procedimiento,,aviso de licitación,,Publicación del procedimiento,,#N/A
tenderer,Noun,,,licitante,,licitante,,comprador,,oferente,,OFERENTE,"LICITANTE ES EL QUE PARTICIPA EN UN PROCESO DE LA MODALIDAD ESPECIFICA DE LICITACION, OFERENTE PARTICIPAN EN TODAS LAS MODALIDADES.",licitante,"(Cuando participa de un proceso de licitación, oferente cuando ofrece servicios o bienes.",Proveedor / Oferente convocado/ invitado ,,oferente,,oferente,,#N/A
tendering organization,Noun,,"""identifiers for each tendering organization""",,,Organización de la licitación,,organización compradora,,,?,ENTIDAD CONTRATANTE,,entidad contratante,,Entidad contratante,,,,organismo contratante,,#N/A
transaction,Noun,,,,,Transacción,,Transacción,,transacción,,,,Contratación,Para el caso de suscripción de contratos de compra de bienes o servicios,Transacción ,,,,transacción,,contracts/implementation/transactions
unique indentifier,Noun,,,,,Identificador único,,identificador único,,identificador único,,NUMERO DE OPERACION,DENTRO DEL SISTEMA GUATECOMPRAS FUNCIONA UN UNICO REGISTRO PARA CADA EVENTO QUE SE PUBLICA.,,,Registro de Identificación,,,,Identificador Único,,#N/A
use case,Noun,,i.e. use cases for implementing OCDS - what are the different scenarios/reasons why publishers want to implement OCDS,,,Caso de uso,,,,caso de uso,,,,difusión de la convocatoria tiene por objeto el conocimiento por parte de posibles licitantes promoviendo una amplia participaicón.,,Justificación de publicación,"En Ecuador la publicidad y transparencia son principios del Sistema Nacional de Contratación Pública que permiten la mayor concurrencia posible en los procedimientos de contratación pública, hacer un control de gasto público y evitar corrupción",caso de uso,,caso de uso,,#N/A
valid,Adjective,,"As in ""valid data"".",,,Válido,,valido,,válido,,,,,,,,,,válido,,#N/A
validation,Noun,Validation involves a technical check on the way data is structured and formatted. http://standard.open-contracting.org/1.1/en/getting_started/validation/ ,e.g. data validation,,,Validación,,Validación,,validación,,ADJUDICACION,,validación,,Validación de infromación,,,,validación,,#N/A
validator,Noun,,"As in ""OCDS validator"", the tool that validates OCDS data.",,,Validador,,validador,,validador,,,,,,,,,,validador,,#N/A
work,Noun,,As opposed to the other types of deliverables that are services and goods.,,,Obra pública,,trabajo,,trabajo,,,,,,Trabajo,,obras,,trabajo / obra,,#N/A
